fullname,number,email
John Doe,9878768767,john@example.com
Jane Doe,42324324324,jane@example.com
Frank Castle,5443323222,frank@example.com
John Doe,9878768767,john@example.com
Jane Doe,42324324324,jane@example.com
Frank Castle,5443323222,frank@example.com
John Doe,9878768767,john@example.com
Jane Doe,42324324324,jane@example.com
Frank Castle,5443323222,frank@example.com
John Doe,9878768767,john@example.com
Jane Doe,42324324324,jane@example.com
Frank Castle,5443323222,frank@example.com
Diwaker Ghimire,87368723482347,diwaker@example.com
